Profile-Img,Player,Position,TeamName,Age,Height,Weight,BirthPlace,PreviousClub
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500028/BURNS%2C%20Billy_NRL_2024_020099.png?center=0.5%2C0.5&preset=player-profile-large,"Billy
Burns",2nd Row,Sharks,25,191,104,"Parkes, NSW",
/Resources/Images/fallback/body-shot.png?preset=player-profile-large,"Blake
Hosking",Lock,Sharks,,,2024,,
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500028/BRAILEY%2C%20Blayke_NRL_2024_019560.png?center=0.5%2C0.5&preset=player-profile-large,"Blayke
Brailey",Hooker,Sharks,25,180,80,"Sydney, NSW",-
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500028/HAMLIN%20UELE%2C%20Braden_NRL_2024_019461.png?center=0.5%2C0.5&preset=player-profile-large,"Braden
Hamlin-Uele",Prop,Sharks,29,191,115,"Auckland, NZ",North Queensland Cowboys
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500028/NIKORA%2C%20Briton_NRL_2024_019487.png?center=0.5%2C0.5&preset=player-profile-large,"Briton
Nikora",2nd Row,Sharks,26,185,94,"Mt Maunganui, NZ",-
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500028/MCINNES%2C%20Cameron_NRL_2024_020142.png?center=0.5%2C0.5&preset=player-profile-large,"Cameron
McInnes",Captain - Hooker,Sharks,30,177,91,"Sydney, NSW",
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500028/FINUCANE%2C%20Dale_NRL_2024_019635.png?center=0.5%2C0.5&preset=player-profile-large,"Dale
Finucane",Captain - Lock,Sharks,32,188,102,"Bega, NSW",
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500028/WILLIAMS%2C%20Jack_NRL_2024_020119.png?center=0.5%2C0.5&preset=player-profile-large,"Jack
Williams",2nd Row,Sharks,27,184,98,"Pambula, NSW",Canberra Raiders
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500028/BERRELL%2C%20Jayden_NRL_2024_020063.png?center=0.5%2C0.5&preset=player-profile-large,"Jayden
Berrell",Hooker,Sharks,29,177,87,"Ipswich, QLD",-
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500028/COLQUHOUN%2C%20Jesse_NRL_2024_020043.png?center=0.5%2C0.5&preset=player-profile-large,"Jesse
Colquhoun",Prop,Sharks,22,190,106,"Wollongong, NSW",-
